"LAUNCHES_REC_ID","LAUNCH_DATE","VEHICLE_NAME","PAD_NAME","PAYLOAD","AGENCY","PURPOSE","ORBIT_TYPE","OUTCOME","SPACE_LAUNCH_REPORT_FLAG","GUNTER_FLAG","SPACE_FLIGHT_NOW_FLAG","NOONAN_FLAG","AST_FLAG","WIKIPEDIA_FLAG","JSR_FLAG","SPACEPORT_REC_ID"
"1","2013-01-05 00:00:00","STIG-B III","","Scientific","Armadillo Aerospace","","","Failure","False","False","False","False","True","False","True","19"
"2","2013-01-26 22:00:00","Ground Based Interceptor","LF-23","","Missile Defense Agency","Anti-ballistic missile test","Sub-orbital","Successful","False","False","False","False","False","True","True","23"
"3","2013-01-26 22:50:00","Terrier Improved Orion","LA-2","","NASA","Atmospheric Experiments","Sub-orbital","Successful","False","False","False","False","False","True","True","9"
"4","2013-01-31 01:48:00","Atlas 5-401","SLC-41","TDRS-K","United Launch Alliance","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"5","2013-02-01 06:56:00","Zenit 3SL/DMSL","Odyssey","Intelsat 27","Energia Logistics, Ltd. (ELUS)","Communications","","Failure","True","True","True","False","True","True","False",""
"6","2013-02-07 08:21:00","Talos Terrier Oriole Nihka","LC-4","","NASA","Auroral Research","Sub-orbital","Successful","False","False","False","False","False","True","True","15"
"7","2013-02-11 18:02:00","Atlas 5-401","SLC-3E","LCDM (Landsat 8)","United Launch Alliance","Earth Observation","Heliocentric","Operational","True","True","True","False","False","True","True","23"
"8","2013-02-13 09:10:00","MRBTM","","","Missile Defense Agency","ABM Target","Sub-orbital","Successful","False","False","False","False","False","True","True","13"
"9","2013-02-13 09:15:00","RIM-161C Standard Missile 3 Block 1A","","","US Navy","ABM Test","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"10","2013-02-15 16:34:00","Terrier Improved Orion","","","NASA","Technology","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"11","2013-03-01 15:10:00","Falcon 9 v1.0","SLC-40","Dragon CRS-2","SpaceX","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","2"
"12","2013-03-06 12:00:00","Grasshopper","","","SpaceX","Testing","","Successful","False","False","False","False","True","False","True","21"
"13","2013-03-11 06:10:00","Terrier Lynx","LA-2","","DoD","Radar Target","Sub-orbital","Successful","False","False","False","False","False","True","True","9"
"14","2013-03-19 21:21:00","Atlas 5-401","SLC-41","SBIRS GEO-2","US Air Force","Missile Detection","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"15","2013-03-26 00:00:00","Dragon","","CRS-2","SpaceX","Re-entry","","","False","False","False","False","True","False","False",""
"16","2013-04-03 03:36:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"17","2013-04-11 12:00:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"18","2013-04-18 12:00:00","Grasshopper","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"19","2013-04-19 10:00:00","Dove 2","","","Cosmogia","Technology","Low Earth","Operational","False","False","False","False","False","True","False",""
"20","2013-04-21 08:00:00","Black Brant IX","","","NASA","Astronomy","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"21","2013-04-21 21:00:00","Antares 110","LP-0A","Cygnus Mass Simulator","Orbital ATK","Demonstration","Low Earth","Operational","True","True","True","False","True","True","True","9"
"22","2013-04-23 17:30:00","Black Brant IX","","","NASA","Solar Research","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"23","2013-04-29 02:52:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","True","False","True","11"
"24","2013-05-01 06:00:00","X-51A","","","US Air Force","","","Successful","False","False","False","False","False","False","True","6"
"25","2013-05-01 07:38:00","Terrier Improved Orion","","","NASA","Ionospheric Research","Sub-orbital","Successful","False","False","False","False","False","True","False","16"
"26","2013-05-07 07:39:00","Terrier Oriole","","","NASA","Atmospheric Experiments","Sub-orbital","Successful","False","False","False","False","False","True","False","16"
"27","2013-05-07 07:40:30","Terrier Imp Malemute","","","NASA","Atmospheric Experiments","Sub-orbital","Successful","False","False","False","False","False","True","False","16"
"28","2013-05-09 07:23:00","Terrier Improved Orion","","","NASA","Ionospheric Research","Sub-orbital","Successful","False","False","False","False","False","True","False","16"
"29","2013-05-11 05:00:00","Black Brant IX","","","NASA","Astronomy","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"30","2013-05-15 21:38:00","Atlas 5-401","SLC-41","GPS 2F-4","US Air Force","Navigation","Medium Earth","Operational","True","True","True","False","False","True","True","2"
"31","2013-05-16 03:25:00","ARAV-C","","","US Army","AMB Target","Sub-orbital","Successful","False","False","False","False","False","True","True","13"
"32","2013-05-16 03:30:00","RIM-161C Standard Missile 3 Block 1B","","","US Navy","ABM Test","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"33","2013-05-22 13:27:00","LGM-30G Minuteman III","LF-04","","US Air Force","Test Flight","Sub-orbital","Successful","False","False","False","False","False","True","True","23"
"34","2013-05-25 00:27:00","Delta 4M+(5,4)","SLC-37B","WGS 5","US Air Force","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"35","2013-06-06 03:05:00","Black Brant XII","LA-1","","NASA","Astronomy","Sub-orbital","Successful","False","False","False","False","False","True","True","9"
"36","2013-06-13 12:00:00","Grasshopper","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"37","2013-06-19 21:36:00","Terrier Mk 12 Imp Orion","LA-1","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"38","2013-06-20 09:30:00","Terrier Improved Orion","","","NASA","Student Experiments","Sub-orbital","Successful","False","False","False","False","False","True","False","9"
"39","2013-06-21 13:57:00","SpaceLoft XL","","","NASA","Student Experiments","Sub-orbital","Successful","False","False","False","False","False","True","True","19"
"40","2013-06-28 02:27:00","Pegasus XL","L-1011","IRIS","Orbital Sciences Corp","Sun Imaging & Measurements","Low Earth","Operational","True","True","True","False","False","True","True","23"
"41","2013-07-04 14:31:00","Black Brant VB","LA-2","","NASA","Geospace","Sub-orbital","Successful","False","False","False","False","False","True","True","9"
"42","2013-07-04 14:31:15","Terrier Improved Orion","LA-2","","NASA","Geospace","Sub-orbital","Successful","False","False","False","False","False","True","True","9"
"43","2013-07-05 18:29:00","UGM-96 Trident I","","","Missile Defense Agency","ABM Target","Sub-orbital","Successful","False","False","False","False","False","True","False",""
"44","2013-07-05 18:35:00","Ground Based Interceptor","LF-23","","Missile Defense Agency","ABM Test","","Failure","False","False","False","False","False","True","True","23"
"45","2013-07-19 13:00:00","Atlas 5-551","SLC-41","MUOS 2","US Navy","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"46","2013-07-24 12:00:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"47","2013-08-08 00:29:00","Delta 4M+(5,4)","SLC-37B","WGS 6","US Air Force","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"48","2013-08-08 02:52:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"49","2013-08-08 18:10:00","Black Brant IX","","","US Naval Research Lab","Solar Research","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"50","2013-08-12 12:00:00","Grasshopper","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"51","2013-08-13 10:00:00","Terrier Imp Malemute","LA-2","","NASA","Student Experiments","Sub-orbital","Successful","False","False","False","False","False","True","True","9"
"52","2013-08-14 12:00:00","R-UNK","","","Missile Defense Agency","","","Successful","False","False","False","False","False","False","True","24"
"53","2013-08-28 18:03:00","Delta 4 Heavy","SLC-6","NROL 65","US National Reconnaissance Office","Spy Satellite","Low Earth","Operational","True","True","True","False","False","True","True","23"
"54","2013-09-05 04:04:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","True","False","True","11"
"55","2013-09-07 03:27:00","Minotaur 5","LP-0B","LADEE","NASA","Moon Explorer","Moon","Successful","True","True","True","False","False","True","True","9"
"56","2013-09-10 00:00:00","UGM-133 Trident II D5","","","US Navy","Test Flight","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"57","2013-09-10 00:00:00","eMRBM","","","Missile Defense Agency","ABM Target","Sub-orbital","Successful","False","False","False","False","False","True","False",""
"58","2013-09-10 00:00:00","MRBM","","","Missile Defense Agency","ABM Target","Sub-orbital","Successful","False","False","False","False","False","True","False","17"
"59","2013-09-10 00:00:00","Standard Missile 3 Block 1A","","","US Navy","ABM Test","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"60","2013-09-10 00:00:00","THAAD","","","US Navy","ABM Test","Sub-orbital","Successful","False","False","False","False","False","True","False","8"
"61","2013-09-12 00:00:00","UGM-133 Trident II D5","","","US Navy","Test Flight","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"62","2013-09-18 00:30:00","ARAV-C++","","","Missile Defense Agency","ABM Target","Sub-orbital","Successful","False","False","False","False","False","True","True","13"
"63","2013-09-18 00:32:00","RIM-161C Standard Missile 3 Block 1B","","","US Navy","ABM Test","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"64","2013-09-18 07:04:00","Atlas 5-531","SLC-41","AEHF 3","US Air Force","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"65","2013-09-18 14:58:00","Antares 110","LP-0A","Cygnus ORB-D1","Orbital ATK","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","9"
"66","2013-09-22 10:01:00","LGM-30G Minuteman III","LF-10","","US Air Force","Test Flight","Sub-orbital","Successful","False","False","False","False","False","True","True","23"
"67","2013-09-26 10:33:00","LGM-30G Minuteman III","LF-9","","US Air Force","Test Flight","Sub-orbital","Successful","False","False","False","False","False","True","True","23"
"68","2013-09-29 16:00:00","Falcon 9 v1.1","SLC-4E","Cassiope/5 Cubesats","SpaceX","Communications","Low Earth","Operational","True","True","True","False","True","True","True","23"
"69","2013-10-04 05:33:00","ARAV-ER","","","Missile Defense Agency","ABM Target","Sub-orbital","Successful","False","False","False","False","False","True","True","13"
"70","2013-10-04 05:37:00","RIM-161C Standard Missile 3 Bloack 1B","","","US Navy","ABM Test","Sub-orbital","Successful","False","False","False","False","False","True","True",""
"71","2013-10-06 12:00:00","Grasshopper","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"72","2013-10-21 10:00:00","Black Brant IX","","","NASA","Solar Dynamics Observatory Calibration","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"73","2013-11-03 09:25:00","Black Brant IX","","","NASA","X-ray Astronomy","Sub-orbital","Successful","False","False","False","False","False","True","True","24"
"74","2013-11-12 16:15:00","SpaceLoft XL","","","NASA","Technology","Sub-orbital","Successful","False","False","False","False","False","True","True","19"
"75","2013-11-18 18:28:00","Atlas 5-401","SLC-41","MAVEN","NASA","Mars Exploration","Areocentric","Operational","True","True","True","False","False","True","True","2"
"76","2013-11-19 23:45:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"77","2013-11-20 01:15:00","Minotaur 1","LP-0B","ORS 3","US Air Force","Technology Experiments","Low Earth","Successful","True","True","True","False","True","True","True","9"
"78","2013-11-26 13:55:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"79","2013-12-03 22:41:00","Falcon 9 v1.1","SLC-40","SES 8","SpaceX","Communications","Geosynchronous","Operational","True","True","True","False","True","True","True","2"
"80","2013-12-06 07:14:30","Atlas 5-501","SLC-3E","NROL 39","US National Reconnaissance Office","Classified","Low Earth","Operational","True","True","True","False","False","True","True","23"
"81","2013-12-11 05:45:00","Spaceship Two","","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"82","2013-12-17 12:36:00","LGM-30G Minuteman III","LF-04","","US Air Force","Test Flight","Sub-orbital","Successful","False","False","False","False","False","True","True","23"
"83","2014-01-06 22:06:00","Falcon 9 v1.1","SLC-40","Thaicom 6","SpaceX","Communications","Geosynchronous","Operational","True","True","True","False","True","True","True","2"
"84","2014-01-09 18:07:00","Antares 120","LP-0A","Cygnus/Orb 1","Orbital ATK","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","9"
"85","2014-01-10 04:04:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","True","False","True","11"
"86","2014-01-14 21:07:00","Terrier Improved Orion","LA-2","","Missile Defense Agency","","","Successful","False","False","False","False","False","False","True","9"
"87","2014-01-14 21:07:00","Terrier Improved Orion","LA-2","","Missile Defense Agency","","","Successful","False","False","False","False","False","False","True","9"
"88","2014-01-14 21:07:00","Terrier Improved Orion","LA-2","","Missile Defense Agency","","","Successful","False","False","False","False","False","False","True","9"
"89","2014-01-17 05:02:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"90","2014-01-24 02:33:00","Atlas 5-401","SLC-41","TDRS-L","NASA","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"91","2014-02-21 01:59:00","Delta 4M+(4,2)","SLC-37B","GPS 2F-5","US Air Force","Navigation","Medium Earth","Operational","True","True","True","False","False","True","True","2"
"92","2014-03-02 23:16:00","Black Brant IX","LC-3","","NASA","","","Successful","False","False","False","False","False","False","True","15"
"93","2014-04-03 14:46:00","Atlas 5-401","SLC-3E","DMSP F19","US Air Force","Weather Forecasting","Low Earth","Inoperable","True","True","True","False","False","True","True","23"
"94","2014-04-10 17:45:00","Atlas 5-541","SLC-41","NRO L-67","US National Reconnaissance Office","Classified","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"95","2014-04-16 12:00:00","Falcon 9R","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"96","2014-04-18 19:25:22","Falcon 9 v1.1","SLC-40","CRS-3 Dragon","SpaceX","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","2"
"97","2014-04-30 12:00:00","Falcon 9R","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"98","2014-05-02 19:55:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"99","2014-05-17 00:03:00","Delta 4M+(4,2)","SLC-37B","GPS 2F-6","US Air Force","Navigation","Medium Earth","Operational","True","True","True","False","False","True","True","2"
"100","2014-05-18 00:00:00","Dragon","","CRS-3","SpaceX","Re-entry","","","False","False","False","False","True","False","False",""
"101","2014-05-20 17:31:00","SM-3-IB","","","US Navy","","","Successful","False","False","False","False","False","False","True","13"
"102","2014-05-22 13:09:00","Atlas 5-401","SLC-41","NROL-33","US National Reconnaissance Office","Classified","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"103","2014-05-23 19:40:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"104","2014-05-26 21:10:00","Zenit 3SL/DMSL","Odyssey","Eutelsat 3B","Energia Logistics, Ltd. (ELUS)","Communications","Geosynchronous","","True","True","True","False","True","False","False",""
"105","2014-06-01 12:00:00","Trident D-5","","","US Navy","","","Successful","False","False","False","False","False","False","True",""
"106","2014-06-01 12:00:00","Trident D-5","","","US Navy","","","Successful","False","False","False","False","False","False","True",""
"107","2014-06-17 10:04:00","Falcon 9R","","","SpaceX","","","Successful","False","False","False","False","True","False","True","21"
"108","2014-06-22 06:57:00","Ground Based Interceptor","LF-23","","Missile Defense Agency","","","Successful","False","False","False","False","False","False","True","23"
"109","2014-06-25 23:16:00","Terrier Mk 12 Imp Orion","LA-2","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"110","2014-06-28 09:07:00","LDSD","","","Jet Propulsion Lab","","","Successful","False","False","False","False","False","False","True","13"
"111","2014-07-01 20:38:00","Terrier Imp Malemute","LA-2","","NASA","","","Failure","False","False","False","False","False","False","True","9"
"112","2014-07-02 09:56:23","Delta 2-7320-10C","SLC-2W","OCO 2","NASA","Earth Observation","Low Earth","Operational","False","True","True","False","False","True","True","23"
"113","2014-07-13 16:52:14","Antares 120","LP-0A","Cygnus/Orb-2","Orbital ATK","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","9"
"114","2014-07-14 02:38:00","CSXT","","","Civilian Space Exploration Team","","","Successful","False","False","False","False","False","False","True",""
"115","2014-07-14 15:15:00","Falcon 9 v1.1","SLC-40","Orbcomm OG2 (6sats)","SpaceX","Communications","Low Earth","Operational","True","True","True","False","True","True","True","2"
"116","2014-07-22 07:12:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"117","2014-07-28 23:28:00","Delta 4M+(4,2)","SLC-37B","2xGSSAP/ANGELS","US Air Force","Space Awareness","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"118","2014-07-29 08:52:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"119","2014-08-01 00:00:00","Falcon 9R","","","SpaceX","","","","False","False","False","False","True","False","True","21"
"120","2014-08-02 03:23:00","Atlas 5-401","SLC-41","GPS 2F7","US Air Force","Navigation","Medium Earth","Operational","True","True","True","False","False","True","True","2"
"121","2014-08-05 08:00:00","Falcon 9 v1.1","SLC-40","Asiasat 8","SpaceX","Communications","Geosynchronous","Operational","True","True","True","False","True","True","True","2"
"122","2014-08-13 12:00:00","SM-6","","","US Navy","","","Successful","False","False","False","False","False","False","True","24"
"123","2014-08-13 18:30:30","Atlas 5-401","SLC-3E","Worldview 3","DigitalGlobe","Earth Observation","Low Earth","Operational","True","True","True","False","True","True","True","23"
"124","2014-08-22 10:48:00","Falcon 9R","","","SpaceX","","","Failure","False","False","False","False","False","False","True","21"
"125","2014-08-23 01:12:00","Terrier Lynx","LA-2","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"126","2014-08-24 20:24:00","STARS","LP-2","","Missile Defense Agency","","","Failure","False","False","False","False","False","False","True","14"
"127","2014-08-27 21:07:00","Black Brant IX","LA-2","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"128","2014-08-28 02:52:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"129","2014-09-07 05:00:00","Falcon 9 v1.1","SLC-40","Asiasat 6","SpaceX","Communications","Geosynchronous","Operational","True","True","True","False","True","True","True","2"
"130","2014-09-17 00:10:00","Atlas 5-401","SLC-41","Nemesis 2/CLIO","United Launch Alliance","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"131","2014-09-21 05:52:03","Falcon 9 v1.1","SLC-40","CRS-4 Dragon","SpaceX","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","2"
"132","2014-09-23 02:38:00","Minuteman 3","LF-09","","US Air Force","","","Successful","False","False","False","False","False","False","True","23"
"133","2014-09-30 06:00:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"134","2014-10-07 04:04:00","Spaceship Two","MHV-3","","Scaled Composites","","","Successful","False","False","False","False","False","False","True","11"
"135","2014-10-11 16:33:00","Terrier Lynx","LA-2","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"136","2014-10-16 19:12:00","MRBM-T3","","","US Army","","","Successful","False","False","False","False","False","False","True","13"
"137","2014-10-23 01:26:00","SpaceLoft XL","","","UP Aerospace","","","Successful","False","False","False","False","False","False","True","19"
"138","2014-10-25 00:00:00","Dragon","","CRS-4","SpaceX","Re-entry","","","False","False","False","False","True","False","False",""
"139","2014-10-28 22:22:38","Antares 130","LP-0A","Cygnus/Orb-3","Orbital ATK","ISS Delivery","","Failure","True","True","True","False","True","True","True","9"
"140","2014-10-29 17:21:00","Atlas 5-401","SLC-41","GPS 2F-8","US Air Force","Navigation","Medium Earth","Operational","True","True","True","False","False","True","True","2"
"141","2014-10-31 05:02:00","Spaceship Two","MHV-3","","Scaled Composites","","","Failure","False","False","False","False","True","False","True","11"
"142","2014-11-06 07:12:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"143","2014-11-06 10:04:00","Terrier Oriole","","","US Army","","","Successful","False","False","False","False","False","False","True","13"
"144","2014-11-06 10:04:00","SM-2MR","","","US Navy","","","Successful","False","False","False","False","False","False","True","13"
"145","2014-11-06 10:04:00","SM-2MR","","","US Navy","","","Successful","False","False","False","False","False","False","True","13"
"146","2014-11-06 10:04:00","SM-3-IB","","","US Navy","","","Successful","False","False","False","False","False","False","True","13"
"147","2014-12-05 00:00:00","Orion","","Orion","Lockheed Martin Commercial Launch Services","Re-entry","","","False","False","False","False","True","False","False",""
"148","2014-12-05 12:05:00","Delta 4 Heavy","SLC-37B","EFT-1 (Orion)","NASA","Testing","Elliptical High Earth","Successful","True","True","True","False","True","True","True","2"
"149","2014-12-11 07:12:00","Black Brant IX","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"150","2014-12-13 03:19:00","Atlas 5-541","SLC-3E","NROL 35","US National Reconnaissance Office","Classified","Molniya","Operational","True","True","True","False","False","True","True","23"
"151","2014-12-16 15:36:00","Taurion","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"152","2014-12-16 16:04:00","Improved Orion","","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"153","2015-01-10 09:47:10","Falcon 9 v1.1","SLC-40","Dragon CRS-5","SpaceX","ISS Delivery","Low Earth","Successful","True","True","True","False","True","True","True","2"
"154","2015-01-21 01:04:00","Atlas 5-551","SLC-41","MUOS 3","US Navy","Communications","Geosynchronous","Operational","True","True","True","False","False","True","True","2"
"155","2015-01-25 21:07:00","Terrier Imp Malemute","LC-1","","NASA","","","Successful","False","False","False","False","False","False","True","15"
"156","2015-01-25 21:07:00","Terrier Improved Orion","LC-2","","NASA","","","Successful","False","False","False","False","False","False","True","15"
"157","2015-01-25 21:50:00","Terrier Imp Malemute","LC-3","","NASA","","","Successful","False","False","False","False","False","False","True","15"
"158","2015-01-25 21:50:00","Terrier Improved Orion","LC-5","","NASA","","","Successful","False","False","False","False","False","False","True","15"
"159","2015-01-27 22:48:00","Oriole IV","LC-4","","NASA","","","Successful","False","False","False","False","False","False","True","15"
"160","2015-01-31 14:22:00","Delta 2-7320","SLC-2W","SMAP","NASA","Earth Observation","Low Earth","Operational","True","True","True","False","False","True","True","23"
"161","2015-02-10 00:00:00","Dragon","","CRS-5","SpaceX","Re-entry","","","False","False","False","False","True","False","False",""
"162","2015-02-11 23:03:32","Falcon 9 v1.1","SLC-40","DSCOVR","SpaceX","Earth Observation","Elliptical High Earth","Operational","True","True","True","False","False","True","True","2"
"163","2015-02-23 15:36:00","Terrier Oriole","LA-2","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"164","2015-02-23 15:36:00","Terrier Oriole","LA-2","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"165","2015-02-23 15:36:00","Terrier Oriole","LA-1","","NASA","","","Successful","False","False","False","False","False","False","True","9"
"166","2015-02-25 00:28:00","Black Brant IX","LC-36","","NASA","","","Successful","False","False","False","False","False","False","True","24"
"167","2015-03-02 03:50:00","Falcon 9 v1.1","SLC-40","Eutelsat 115WB/ABS 3A","SpaceX","Communications","Geosynchronous","Operational","True","True","True","False","True","True","True","2"
"168","2015-03-13 03:44:00","Atlas 5-421","SLC-41","MMS","NASA","Earth Observation","Elliptical High Earth","Operational","True","True","True","False","False","True","True","2"
"169","2015-03-22 22:33:00","Minuteman 3","LF-10","","US Air Force","","","Successful","False","False","False","False","False","False","True","23"
"170","2015-03-25 18:36:00","Delta 4M+(4,2)","SLC-37B","GPS 2F-9","US Air Force","Navigation","Medium Earth","Operational","True","True","True","False","False","True","True","2"
"171","2015-03-26 22:48:00","Minuteman 3","LF-04","","US Air Force","","","Successful","False","False","False","False","False","False","True","23"
